data,safra,preco_rs_ton
2023-01-31,22/23,1025.97056666644
2023-02-28,22/23,1021.75888657489
2023-03-31,22/23,1020.1174720853
2023-04-28,22/23,990.173203787196
2023-05-31,22/23,927.386592705511
2023-06-30,22/23,908.704298450493
2023-07-31,22/23,835.412486739187
2023-08-31,22/23,716.992447953055
2023-09-29,22/23,662.786877533849
2023-10-31,22/23,651.547787700241
2023-10-31,23/24,499.759787330778
2023-11-30,22/23,620.439214906627
2023-11-30,23/24,584.309057268748
2023-12-29,22/23,630.824970701912
2023-12-29,23/24,604.384132342211
2024-01-31,23/24,574.618497237603
2024-01-31,22/23,686.468932711223
2024-02-29,23/24,519.202975163516
2024-02-29,22/23,683.825692659041
2024-03-29,23/24,554.828949721754
2024-03-29,22/23,692.884919415403
2024-04-30,23/24,523.470878166926
2024-04-30,22/23,641.114832001305
2024-05-31,23/24,492.456132727418
2024-05-31,22/23,632.905856380716
2024-06-28,23/24,520.011845070378
2024-06-28,22/23,647.320185755992
2024-07-31,23/24,512.635767254766
2024-08-30,22/23,534.563052962242
2024-08-30,23/24,536.355714135744
2024-09-30,23/24,575.340958842179
2024-10-31,23/24,709.55071484302
2024-10-31,24/25,529.611637783104
2024-11-29,23/24,811.501159386168
2024-11-29,24/25,661.982321633683
2024-12-31,23/24,956.350369448668
2024-12-31,24/25,701.368803429432
2025-01-31,24/25,729.541533544349
2025-01-31,23/24,1162.7271021673
2025-02-28,24/25,757.82282895006
2025-02-28,23/24,1190.42388109618
2025-03-31,23/24,1317.39344307033
2025-03-31,24/25,824.003583545604
2025-04-30,24/25,865.835790762752
2025-04-30,23/24,1482.69592792082
2025-05-30,24/25,894.899563444549
2025-05-30,23/24,1643.0987387924
2025-06-30,23/24,1577.75131301879
2025-06-30,24/25,853.518030114723
2025-07-31,24/25,874.366647525386
2025-07-31,23/24,1495.69355808258
2025-08-29,24/25,848.24917780119
2025-08-29,23/24,940.285808892524
2025-09-30,24/25,906.813388465602
2025-10-31,24/25,928.919634228453
2025-11-28,24/25,910.160235060732
2025-12-31,24/25,897.843673850366
2026-01-30,24/25,908.464063806346
2026-02-27,24/25,873.783308831761
2026-03-31,24/25,884.055286814433
2026-04-30,24/25,888.656366544012
